station,uid
Alkmaar,alk
Almelo,alm
Almere Centrum,alc
Alphen a/d Rijn,alp
Amersfoort,ame
Amsterdam Amstel,aam
Amsterdam Centraal,acs
Amsterdam Sloterdijk,slo
Amsterdam Zuid,azu
Apeldoorn,apd
Arnhem Centraal,arn
Assen,asn
Beverwijk,bev
Breda,brd
Castricum,cas
Delft,del
Den Haag Centraal,dhg
Den Haag HS,dhs
Den Haag Laan v NOI,dhn
Den Helder,dhl
Deventer,dev
Dieren,dir
Dordrecht,dor
Ede-Wageningen,ede
Eindhoven,eih
Enschede,ens
Etten-Leur,etl
Gouda,gou
Groningen,gro
Haarlem,haa
Heemstede-Aerdenhout,hee
Heerenveen,hrv
Heerlen,hrl
Helmond,hel
Hengelo,hen
Hilversum,hvs
Hoorn,hoo
Leeuwarden,lwd
Leiden Centraal,lei
Lelystad Centrum,llc
Maastricht,mst
Nijmegen,nij
Oss,oss
Roermond,rom
Roosendaal,ros
Rotterdam Alexander,ral
Rotterdam Blaak,rbl
Rotterdam Centraal,rcs
Schiedam Centrum,sdm
Schiphol Airport,sph
Sittard,sit
Steenwijk,stw
Tilburg,til
Utrecht Centraal,utc
Venlo,ven
Vlissingen,vli
Weert,wee
Zaandam,zaa
Zutphen,zut
Zwolle,zwo
s-Hertogenbosch,shb
